date,key_change,taux,x_vers_euro
2023-04-13,JPY,146.81,0.006811525100469995
2023-04-12,USD,1.0922,0.9155832265152902
2023-04-12,JPY,146.09,0.006845095489082072
2023-04-11,USD,1.0905,0.9170105456212746
2023-04-11,JPY,145.28,0.006883259911894273
2023-04-06,USD,1.0915,0.9161704076958315
2023-04-06,JPY,143.49,0.006969126768415917
2023-04-05,USD,1.094,0.9140767824497257
2023-04-05,JPY,143.74,0.006957005704744677
2023-04-04,USD,1.0901,0.9173470323823502
2023-04-04,JPY,144.94,0.006899406651028011
2023-04-03,USD,1.087,0.9199632014719411
2023-04-03,JPY,144.51,0.0069199363365857035
2023-03-31,USD,1.0875,0.9195402298850576
2023-03-31,JPY,144.83,0.006904646827314782
2023-03-30,USD,1.0886,0.9186110600771633
2023-03-30,JPY,144.42,0.006924248719013987
2023-03-29,USD,1.0847,0.9219138932423712
2023-03-29,JPY,143.58,0.006964758322886195
2023-03-28,USD,1.0841,0.9224241306152569
2023-03-28,JPY,141.69,0.007057661091114405
2023-03-27,USD,1.0773,0.9282465422816301
2023-03-27,JPY,141.64,0.007060152499293986
2023-03-24,USD,1.0745,0.9306654257794322
2023-03-24,JPY,139.85,0.007150518412584913
2023-03-23,USD,1.0879,0.9192021325489474
2023-03-23,JPY,142.87,0.0069993700566948975
2023-03-22,USD,1.0785,0.9272137227630969
2023-03-22,JPY,143.13,0.006986655488017886
2023-03-21,USD,1.0776,0.9279881217520417
2023-03-21,JPY,142.63,0.007011147724882563
2023-03-20,USD,1.0717,0.9330969487729774
2023-03-20,JPY,140.77,0.007103786318107551
2023-03-17,USD,1.0623,0.9413536665725313
2023-03-17,JPY,140.57,0.007113893433876361
2023-03-16,USD,1.0595,0.9438414346389805
2023-03-16,JPY,140.18,0.007133685261806248
2023-03-15,USD,1.0549,0.9479571523367144
2023-03-15,JPY,139.51,0.007167944950182783
2023-03-14,USD,1.0737,0.9313588525658936
2023-03-14,JPY,144.09,0.006940106877645916
2023-03-13,USD,1.0706,0.9340556697179152
2023-03-13,JPY,141.96,0.0070442378134685825
2023-03-10,USD,1.0586,0.9446438692612885
2023-03-10,JPY,144.7,0.006910850034554251
2023-03-09,USD,1.0554,0.9475080538184576
2023-03-09,JPY,143.82,0.006953135864274788
2023-03-08,USD,1.0545,0.948316737790422
2023-03-08,JPY,144.7,0.006910850034554251
2023-03-07,USD,1.0665,0.9376465072667605
2023-03-07,JPY,145.21,0.006886578059362302
2023-03-06,USD,1.0646,0.9393199323689648
2023-03-06,JPY,144.64,0.006913716814159292
2023-03-03,USD,1.0615,0.9420631182289212
2023-03-03,JPY,144.55,0.006918021445866482
2023-03-02,USD,1.0605,0.9429514380009429
2023-03-02,JPY,145.07,0.006893223960846488
2023-03-01,USD,1.0684,0.9359790340696368
2023-03-01,JPY,144.82,0.006905123601712471
2023-02-28,USD,1.0619,0.9417082587814295
2023-02-28,JPY,145.23,0.0068856296908352274
2023-02-27,USD,1.0554,0.9475080538184576
2023-02-27,JPY,143.88,0.006950236308034473
2023-02-24,USD,1.057,0.946073793755913
2023-02-24,JPY,143.55,0.006966213862765586
2023-02-23,USD,1.0616,0.9419743782969102
2023-02-23,JPY,143.32,0.006977393245883338
2023-02-22,USD,1.0644,0.9394964299135663
2023-02-22,JPY,143.24,0.006981290142418319
2023-02-21,USD,1.0664,0.9377344336084021
2023-02-21,JPY,143.76,0.006956037840845855
2023-02-20,USD,1.0674,0.9368559115608021
2023-02-20,JPY,143.09,0.0069886085680341044
2023-02-17,USD,1.0625,0.9411764705882353
2023-02-17,JPY,143.18,0.006984215672579969
2023-02-16,USD,1.07,0.9345794392523364
2023-02-16,JPY,143.31,0.006977880120019538
2023-02-15,USD,1.07,0.9345794392523364
2023-02-15,JPY,143.05,0.006990562740300594
2023-02-14,USD,1.0759,0.9294544102611766
2023-02-14,JPY,142.14,0.007035317292809907
2023-02-13,USD,1.0686,0.9358038555118847
2023-02-13,JPY,141.65,0.0070596540769502295
2023-02-10,USD,1.069,0.9354536950420954
2023-02-10,JPY,139.88,0.007148984844152131
2023-02-09,USD,1.0771,0.9284189026088572
